name,accuracy,effect_chance,pp,priority,power,class,type,crit_rate,drain,flinch_chance,healing,max_hits,min_hits,max_turns,min_turns,stat_chance,effect
"pound",100,,35,0,40,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"karate-chop",100,,25,0,50,physical,fighting,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move."
"double-slap",85,,10,0,15,physical,normal,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"comet-punch",85,,15,0,18,physical,normal,0,0,0,0,5,2,,,0,"Inflicts regular damage.  Hits 2–5 times in one turn.Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
"mega-punch",85,,20,0,80,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"pay-day",100,,20,0,40,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
"fire-punch",100,10,15,0,75,physical,fire,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to burn the target."
"ice-punch",100,10,15,0,75,physical,ice,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to freeze the target."
"thunder-punch",100,10,15,0,75,physical,electric,0,0,0,0,,,,,0,"Inflicts regular damage.  Has a 10% chance to paralyze the target."
"scratch",100,,35,0,40,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"vice-grip",100,,30,0,55,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
"guillotine",30,,5,0,-1,physical,normal,0,0,0,0,,,,,0,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
"razor-wind",100,,10,0,80,special,normal,1,0,0,0,,,,,0,"Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.This move cannot be selected by sleep talk."
"swords-dance",-1,,20,0,-1,status,normal,0,0,0,0,,,,,0,"Raises the user's Attack by two stages."
"cut",95,,30,0,50,physical,normal,0,0,0,0,,,,,0,"Inflicts regular damage."
