name,type_1,type_2,ability_1,ability_1_is_hidden,ability_2,ability_2_is_hidden,ability_3,ability_3_is_hidden,height,weight,stat_hp,stat_attack,stat_defense,stat_spattack,stat_spdef,stat_speed,sprite
bulbasaur,grass,poison,overgrow,False,chlorophyll,True,,,7,69,45,49,49,65,65,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png"
ivysaur,grass,poison,overgrow,False,chlorophyll,True,,,10,130,60,62,63,80,80,60,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png"
venusaur,grass,poison,overgrow,False,chlorophyll,True,,,20,1000,80,82,83,100,100,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png"
charmander,fire,,blaze,False,solar-power,True,,,6,85,39,52,43,60,50,65,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png"
charmeleon,fire,,blaze,False,solar-power,True,,,11,190,58,64,58,80,65,80,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png"
charizard,fire,flying,blaze,False,solar-power,True,,,17,905,78,84,78,109,85,100,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png"
squirtle,water,,torrent,False,rain-dish,True,,,5,90,44,48,65,50,64,43,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png"
wartortle,water,,torrent,False,rain-dish,True,,,10,225,59,63,80,65,80,58,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png"
blastoise,water,,torrent,False,rain-dish,True,,,16,855,79,83,100,85,105,78,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png"
caterpie,bug,,shield-dust,False,run-away,True,,,3,29,45,30,35,20,20,45,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png"
metapod,bug,,shed-skin,False,,,,,7,99,50,20,55,25,25,30,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png"
butterfree,bug,flying,compound-eyes,False,tinted-lens,True,,,11,320,60,45,50,90,80,70,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png"
weedle,bug,poison,shield-dust,False,run-away,True,,,3,32,40,35,30,20,20,50,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png"
kakuna,bug,poison,shed-skin,False,,,,,6,100,45,25,50,25,25,35,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png"
beedrill,bug,poison,swarm,False,sniper,True,,,10,295,65,90,40,45,80,75,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png"
pidgey,normal,flying,keen-eye,False,tangled-feet,False,big-pecks,True,3,18,40,45,40,35,35,56,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png"
pidgeotto,normal,flying,keen-eye,False,tangled-feet,False,big-pecks,True,11,300,63,60,55,50,50,71,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png"
pidgeot,normal,flying,keen-eye,False,tangled-feet,False,big-pecks,True,15,395,83,80,75,70,70,101,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png"
rattata,normal,,run-away,False,guts,False,hustle,True,3,35,30,56,35,25,35,72,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png"
raticate,normal,,run-away,False,guts,False,hustle,True,7,185,55,81,60,50,70,97,"https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png"
